0.05 0.00 0.00000
0.05 0.10 0.00000
0.05 0.20 0.00000
0.05 0.30 0.00000
0.05 0.40 0.00000
0.05 0.50 0.00000
0.05 0.60 0.00000
0.05 0.70 0.00000
0.05 0.80 0.00000
0.05 0.90 0.00000
0.05 1.00 0.00000
0.05 1.10 0.00000
0.05 1.20 0.00000
0.05 1.30 0.00000
0.05 1.40 0.00000
0.05 1.50 0.00000
0.05 1.60 0.00000
0.05 1.70 0.00000
0.05 1.80 0.00000
0.05 1.90 0.00000
0.05 2.00 0.00000
0.05 2.10 0.00000
0.05 2.20 0.00000
0.05 2.30 0.00000
0.05 2.40 0.00000
0.05 2.50 0.00000
0.05 2.60 0.00000
0.05 2.70 0.00000
0.05 2.80 0.00000
0.05 2.90 0.00000
0.05 3.00 0.00000
0.05 3.10 0.00000
0.05 3.20 0.00000
0.05 3.30 0.00000
0.05 3.40 0.00000
0.05 3.50 0.00000
0.05 3.60 0.00000
0.05 3.70 0.00000
0.05 3.80 0.00000
0.05 3.90 0.00000
0.05 4.00 0.00000
0.05 4.10 0.00000
0.05 4.20 0.00000
0.05 4.30 0.00000
0.05 4.40 0.00000
0.05 4.50 0.00000
0.05 4.60 0.00000
0.05 4.70 0.00000
0.05 4.80 0.00000
0.05 4.90 0.00000
0.05 5.00 0.00000
0.05 5.10 0.00001
0.05 5.20 0.00003
0.05 5.30 0.00007
0.05 5.40 0.00016
0.05 5.50 0.00036
0.05 5.60 0.00078
0.05 5.70 0.00163
0.05 5.80 0.00326
0.05 5.90 0.00626
0.05 6.00 0.01156
0.05 6.10 0.02053
0.05 6.20 0.03503
0.05 6.30 0.05747
0.05 6.40 0.09062
0.05 6.50 0.13735
0.05 6.60 0.20010
0.05 6.70 0.28018
0.05 6.80 0.37708
0.05 6.90 0.48779
0.05 7.00 0.60651
0.05 7.10 0.72484
0.05 7.20 0.83261
0.05 7.30 0.91927
0.05 7.40 0.97554
0.05 7.50 0.99505
0.05 7.60 0.97554
0.05 7.70 0.91927
0.05 7.80 0.83261
0.05 7.90 0.72484
0.05 8.00 0.60651
0.05 8.10 0.48779
0.05 8.20 0.37708
0.05 8.30 0.28018
0.05 8.40 0.20010
0.05 8.50 0.13735
0.05 8.60 0.09062
0.05 8.70 0.05747
0.05 8.80 0.03503
0.05 8.90 0.02053
0.05 9.00 0.01156
0.05 9.10 0.00626
0.05 9.20 0.00326
0.05 9.30 0.00163
0.05 9.40 0.00078
0.05 9.50 0.00036
0.05 9.60 0.00016
0.05 9.70 0.00007
0.05 9.80 0.00003
0.05 9.90 0.00001
0.05 10.00 0.00000
0.05 10.10 0.00000
0.05 10.20 0.00000
0.05 10.30 0.00000
0.05 10.40 0.00000
0.05 10.50 0.00000
0.05 10.60 0.00000
0.05 10.70 0.00000
0.05 10.80 0.00000
0.05 10.90 0.00000
0.05 11.00 0.00000
0.05 11.10 0.00000
0.05 11.20 0.00000
0.05 11.30 0.00000
0.05 11.40 0.00000
0.05 11.50 0.00000
0.05 11.60 0.00000
0.05 11.70 0.00000
0.05 11.80 0.00000
0.05 11.90 0.00000
0.05 12.00 0.00000
0.05 12.10 0.00000
0.05 12.20 0.00000
0.05 12.30 0.00000
0.05 12.40 0.00000
0.05 12.50 0.00000
0.05 12.60 0.00000
0.05 12.70 0.00000
0.05 12.80 0.00000
0.05 12.90 0.00000
0.05 13.00 0.00000
0.05 13.10 0.00000
0.05 13.20 0.00000
0.05 13.30 0.00000
0.05 13.40 0.00000
0.05 13.50 0.00000
0.05 13.60 0.00000
0.05 13.70 0.00000
0.05 13.80 0.00000
0.05 13.90 0.00000
0.05 14.00 0.00000
0.05 14.10 0.00000
0.05 14.20 0.00000
0.05 14.30 0.00000
0.05 14.40 0.00000
0.05 14.50 0.00000
0.05 14.60 0.00000
0.05 14.70 0.00000
0.05 14.80 0.00000
0.05 14.90 0.00000
0.05 15.00 0.00000
0.10 0.00 0.00000
0.10 0.10 0.00000
0.10 0.20 0.00000
0.10 0.30 0.00000
0.10 0.40 0.00000
0.10 0.50 0.00000
0.10 0.60 0.00000
0.10 0.70 0.00000
0.10 0.80 0.00000
0.10 0.90 0.00000
0.10 1.00 0.00000
0.10 1.10 0.00000
0.10 1.20 0.00000
0.10 1.30 0.00000
0.10 1.40 0.00000
0.10 1.50 0.00000
0.10 1.60 0.00000
0.10 1.70 0.00000
0.10 1.80 0.00000
0.10 1.90 0.00000
0.10 2.00 0.00000
0.10 2.10 0.00000
0.10 2.20 0.00000
0.10 2.30 0.00000
0.10 2.40 0.00000
0.10 2.50 0.00000
0.10 2.60 0.00000
0.10 2.70 0.00000
0.10 2.80 0.00000
0.10 2.90 0.00000
0.10 3.00 0.00000
0.10 3.10 0.00000
0.10 3.20 0.00000
0.10 3.30 0.00000
0.10 3.40 0.00000
0.10 3.50 0.00000
0.10 3.60 0.00000
0.10 3.70 0.00000
0.10 3.80 0.00000
0.10 3.90 0.00000
0.10 4.00 0.00000
0.10 4.10 0.00000
0.10 4.20 0.00000
0.10 4.30 0.00000
0.10 4.40 0.00000
0.10 4.50 0.00000
0.10 4.60 0.00000
0.10 4.70 0.00000
0.10 4.80 0.00000
0.10 4.90 0.00000
0.10 5.00 0.00001
0.10 5.10 0.00001
0.10 5.20 0.00004
0.10 5.30 0.00009
0.10 5.40 0.00020
0.10 5.50 0.00044
0.10 5.60 0.00094
0.10 5.70 0.00191
0.10 5.80 0.00376
0.10 5.90 0.00710
0.10 6.00 0.01290
0.10 6.10 0.02256
0.10 6.20 0.03795
0.10 6.30 0.06142
0.10 6.40 0.09564
0.10 6.50 0.14327
0.10 6.60 0.20652
0.10 6.70 0.28642
0.10 6.80 0.38222
0.10 6.90 0.49079
0.10 7.00 0.60639
0.10 7.10 0.72095
0.10 7.20 0.82481
0.10 7.30 0.90802
0.10 7.40 0.96192
0.10 7.50 0.98059
0.10 7.60 0.96192
0.10 7.70 0.90802
0.10 7.80 0.82481
0.10 7.90 0.72095
0.10 8.00 0.60639
0.10 8.10 0.49079
0.10 8.20 0.38222
0.10 8.30 0.28642
0.10 8.40 0.20652
0.10 8.50 0.14327
0.10 8.60 0.09564
0.10 8.70 0.06142
0.10 8.80 0.03795
0.10 8.90 0.02256
0.10 9.00 0.01290
0.10 9.10 0.00710
0.10 9.20 0.00376
0.10 9.30 0.00191
0.10 9.40 0.00094
0.10 9.50 0.00044
0.10 9.60 0.00020
0.10 9.70 0.00009
0.10 9.80 0.00004
0.10 9.90 0.00001
0.10 10.00 0.00001
0.10 10.10 0.00000
0.10 10.20 0.00000
0.10 10.30 0.00000
0.10 10.40 0.00000
0.10 10.50 0.00000
0.10 10.60 0.00000
0.10 10.70 0.00000
0.10 10.80 0.00000
0.10 10.90 0.00000
0.10 11.00 0.00000
0.10 11.10 0.00000
0.10 11.20 0.00000
0.10 11.30 0.00000
0.10 11.40 0.00000
0.10 11.50 0.00000
0.10 11.60 0.00000
0.10 11.70 0.00000
0.10 11.80 0.00000
0.10 11.90 0.00000
0.10 12.00 0.00000
0.10 12.10 0.00000
0.10 12.20 0.00000
0.10 12.30 0.00000
0.10 12.40 0.00000
0.10 12.50 0.00000
0.10 12.60 0.00000
0.10 12.70 0.00000
0.10 12.80 0.00000
0.10 12.90 0.00000
0.10 13.00 0.00000
0.10 13.10 0.00000
0.10 13.20 0.00000
0.10 13.30 0.00000
0.10 13.40 0.00000
0.10 13.50 0.00000
0.10 13.60 0.00000
0.10 13.70 0.00000
0.10 13.80 0.00000
0.10 13.90 0.00000
0.10 14.00 0.00000
0.10 14.10 0.00000
0.10 14.20 0.00000
0.10 14.30 0.00000
0.10 14.40 0.00000
0.10 14.50 0.00000
0.10 14.60 0.00000
0.10 14.70 0.00000
0.10 14.80 0.00000
0.10 14.90 0.00000
0.10 15.00 0.00000
0.15 0.00 0.00000
0.15 0.10 0.00000
0.15 0.20 0.00000
0.15 0.30 0.00000
0.15 0.40 0.00000
0.15 0.50 0.00000
0.15 0.60 0.00000
0.15 0.70 0.00000
0.15 0.80 0.00000
0.15 0.90 0.00000
0.15 1.00 0.00000
0.15 1.10 0.00000
